id,title,year,cleaned_token_count,processed_token_count
169,Aplikasi Manajemen Kehadiran Pegawai Berbasis Mobile pada PT. Lawang Sewu Teknologi Menggunakan framework Flutter dengan Geolocation dan Penerapan Keamanan Lokasi dengan Anti-fake GPS,2024,400,240
170,Penerapan Teknologi Low-Code Programming Dalam Pengembangan Aplikasi Pencatatan Transaksi Petty Cash Menggunakan Platform OutSystems (Studi Kasus: PT Bank Central Asia Tbk),2024,399,260
171,Pengaruh Inisialisasi Nguyen-Widrow dalam Model Backpropagation untuk Prediksi Kasus Demam Berdarah di Kabupaten Banyumas,2024,440,209
172,Pengembangan Serta Uji Performa Dan Keamanan Modul Registrasi Mahasiswa Universitas Jenderal Soedirman Berbasis Nextjs,2024,269,139
173,Perancangan Data Warehouse Metode Nine Steps Kimball untuk Sistem Penilaian Kinerja Karyawan Menggunakan Perhitungan SAW Berbasis Website,2024,327,171
174,Implementasi Metode Analytical Hierarchy Process pada Indeks Pembangunan Literasi Masyarakat Berbasis Website (Studi Kasus Dinas Kearsipan dan Perpustakaan Kabupaten Purbalingga),2024,314,163
175,Sistem Kredit Poin Mahasiswa Menggunakan Metode Waterfall Studi Kasus Fakultas Teknik Universitas Jenderal Soedirman,2024,288,133
176,Prediksi Pertandingan Mixed Martial Arts Pada Promotor UFC Menggunakan Support Vector Machine,2024,362,196
177,Sistem Informasi Pemetaan Jalur Pendakian dan Perkiraan Kebutuhan Logistik Pendakian Gunung Berbasis Geolocation,2024,312,171
178,Implementasi Smote untuk Mengatasi Class Imbalance pada Naive Bayes Classifier dalam Analisis Sentimen Calon Presiden di Pemilihan Umum 2024,2024,517,262
